{@BATCH|Board1|Rev|3286|1||Grading|210731160414|Grader|Cisco-06|testplan_bdg|i3070 09.10p WN(full)
{@BTEST|Analog Incircuit Vacuum off|01|210731160414|000182|0|all||n|1|210731160716||1
{@BLOCK|c588_sa|01
{@A-CAP|1|-4.600695E-08}
}
{@BLOCK|c156|01
{@A-CAP|1|+5.682927E-09}
}
{@BLOCK|c2_qd|01
{@A-CAP|1|-4.600695E-08}
}
{@BLOCK|c11_p3v3|01
{@A-CAP|1|-2.300046E-08}
}
{@BLOCK|c43|01
{@A-CAP|1|-2.875677E-08}
}
{@BLOCK|c44|01
{@A-CAP|1|-5.751354E-09}
}
{@BLOCK|c49|01
{@A-CAP|1|+2.875677E-08}
}
{@BLOCK|c9_99|01
{@A-CAP|1|+9.999999E+99}
}
{@BLOCK|c316|01
{@A-CAP|1|-2.875677E-09}
}
{@BLOCK|c227|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c303|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c13_97_rr|01
{@A-CAP|1|+4.609395E-08}
}
{@BLOCK|c21_ra|01
{@A-CAP|1|-1.000000E-99}
}
{@BLOCK|c13_91_q3v3r|01
{@A-CAP|1|+2.322929E-09}
}
{@BLOCK|c1a_q0|01
{@A-CAP|1|-5.281260E-04}
}
{@BLOCK|c1a_q1|01
{@A-CAP|1|-5.215923E-04}
}
{@BLOCK|c1a_q2|01
{@A-CAP|1|-4.670693E-03}
}
{@BLOCK|c1a_q3|01
{@A-CAP|1|-6.281684E-04}
}
{@BLOCK|c1a_q4|01
{@A-CAP|1|-3.458824E-04}
}
{@BLOCK|c1a_q5|01
{@A-CAP|1|-3.464345E-04}
}
{@BLOCK|c1a_q6|01
{@A-CAP|1|-3.409129E-04}
}
{@BLOCK|c1a_q7|01
{@A-CAP|1|-3.433056E-04}
}
{@BLOCK|c1a_q8|01
{@A-CAP|1|-3.405448E-04}
}
{@BLOCK|c1a_q9|01
{@A-CAP|1|-3.461124E-04}
}
{@BLOCK|c1a_q10|01
{@A-CAP|1|-6.265579E-04}
}
{@BLOCK|c1a_q11|01
{@A-CAP|1|-6.356219E-04}
}
{@BLOCK|c1a_q12|01
{@A-CAP|1|-3.459284E-04}
}
{@BLOCK|c1a_q13|01
{@A-CAP|1|-3.411430E-04}
}
{@BLOCK|c1a_q14|01
{@A-CAP|1|-5.173852E-04}
}
{@BLOCK|c1a_q15|01
{@A-CAP|1|-3.352533E-04}
}
{@BLOCK|c1b_q0|01
{@A-CAP|1|+5.750369E-09}
}
{@BLOCK|c1b_q1|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q2|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q3|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q4|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q5|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q6|01
{@A-CAP|1|+5.750369E-09}
}
{@BLOCK|c1b_q7|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q8|01
{@A-CAP|1|-5.750369E-09}
}
{@BLOCK|c1b_q9|01
{@A-CAP|1|-5.750369E-09}
}
{@BLOCK|c1b_q10|01
{@A-CAP|1|+5.750369E-09}
}
{@BLOCK|c1b_q11|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q12|01
{@A-CAP|1|+5.750369E-09}
}
{@BLOCK|c1b_q13|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c1b_q14|01
{@A-CAP|1|-5.750369E-09}
}
{@BLOCK|c1b_q15|01
{@A-CAP|1|+5.750369E-09}
}
{@BLOCK|c09_q3v3r|01
{@A-CAP|1|+5.807757E-10}
}
{@BLOCK|c09_qa|01
{@A-CAP|1|+0.000000E+00}
}
{@BLOCK|c09_rr|01
{@A-CAP|1|-1.000000E-99}
}
{@BLOCK|c13_99|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c13_ra|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c2_99|01
{@A-CAP|1|+1.731463E-11}
}
{@BLOCK|c2_adv|01
{@A-CAP|1|+2.020040E-11}
}
{@BLOCK|c5_99|01
{@A-CAP|1|+1.731463E-11}
}
{@BLOCK|c08_1v8b|01
{@A-CAP|1|+1.731463E-11}
}
{@BLOCK|c08_3v3b|01
{@A-CAP|1|+2.020040E-11}
}
{@BLOCK|c08_p3v3|01
{@A-CAP|1|+8.657313E-12}
}
{@BLOCK|c28|01
{@A-CAP|1|+1.154308E-11}
}
{@BLOCK|c30|01
{@A-CAP|1|+1.442886E-11}
}
{@BLOCK|c14_99|01
{@A-CAP|1|+3.770382E-11}
}
{@BLOCK|c13_qd|01
{@A-CAP|1|+2.905987E-09}
}
{@BLOCK|c21_im|01
{@A-CAP|1|+4.369776E-11}
}
{@BLOCK|c24_im|01
{@A-CAP|1|+1.253197E-10}
}
{@BLOCK|c13_01_qd|01
{@A-CAP|1|+2.307398E-07}
}
{@BLOCK|c42|01
{@A-CAP|1|+2.610265E-11}
}
{@BLOCK|c76_q0|01
{@A-CAP|1|+2.900294E-11}
}
{@BLOCK|c76_q1|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c76_q2|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c76_q3|01
{@A-CAP|1|+3.770382E-11}
}
{@BLOCK|c76_q4|01
{@A-CAP|1|+4.060412E-11}
}
{@BLOCK|c76_q5|01
{@A-CAP|1|+4.060412E-11}
}
{@BLOCK|c76_q6|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c76_q7|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c76_q8|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c76_q9|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c76_q10|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c76_q11|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c76_q12|01
{@A-CAP|1|+2.900294E-11}
}
{@BLOCK|c76_q13|01
{@A-CAP|1|+2.610265E-11}
}
{@BLOCK|c76_q14|01
{@A-CAP|1|+2.030206E-11}
}
{@BLOCK|c76_q15|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c77_q0|01
{@A-CAP|1|+4.060412E-11}
}
{@BLOCK|c77_q1|01
{@A-CAP|1|+2.320235E-11}
}
{@BLOCK|c77_q2|01
{@A-CAP|1|+4.060412E-11}
}
{@BLOCK|c77_q3|01
{@A-CAP|1|+4.060412E-11}
}
{@BLOCK|c77_q4|01
{@A-CAP|1|+2.320235E-11}
}
{@BLOCK|c77_q5|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c77_q6|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c77_q7|01
{@A-CAP|1|+4.350441E-11}
}
{@BLOCK|c77_q8|01
{@A-CAP|1|+2.900294E-11}
}
{@BLOCK|c77_q9|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c77_q10|01
{@A-CAP|1|+3.770382E-11}
}
{@BLOCK|c77_q11|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c77_q12|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c77_q13|01
{@A-CAP|1|+4.640470E-11}
}
{@BLOCK|c77_q14|01
{@A-CAP|1|+4.060412E-11}
}
{@BLOCK|c77_q15|01
{@A-CAP|1|+3.190323E-11}
}
{@BLOCK|c13_96_q3v3r|01
{@A-CAP|1|+2.300348E-07}
}
{@BLOCK|c589_sa|01
{@A-CAP|1|-1.000000E-99}
}
{@BLOCK|c5_adv|01
{@A-CAP|1|+3.474315E-11}
}
{@BLOCK|c08_p1|01
{@A-CAP|1|+1.737157E-11}
}
{@BLOCK|c52|01
{@A-CAP|1|+1.737157E-11}
}
{@BLOCK|c53|01
{@A-CAP|1|+2.895262E-11}
}
{@BLOCK|c197_sa|01
{@A-CAP|1|+2.316210E-11}
}
{@BLOCK|c198_sa|01
{@A-CAP|1|+2.895262E-11}
}
{@BLOCK|c199_sa|01
{@A-CAP|1|+3.184789E-11}
}
{@BLOCK|c200_sa|01
{@A-CAP|1|+3.763841E-11}
}
{@BLOCK|c191_sa|01
{@A-CAP|1|+1.442886E-11}
}
{@BLOCK|c192_sa|01
{@A-CAP|1|+1.154308E-11}
}
{@BLOCK|c193_sa|01
{@A-CAP|1|+8.657313E-12}
}
{@BLOCK|c194_sa|01
{@A-CAP|1|+2.308617E-11}
}
{@BLOCK|c203_sa|01
{@A-CAP|1|+8.657313E-12}
}
{@BLOCK|c204_sa|01
{@A-CAP|1|+2.597194E-11}
}
{@BLOCK|c459|01
{@A-CAP|1|+2.597194E-11}
}
{@BLOCK|c463|01
{@A-CAP|1|+2.597194E-11}
}
{@BLOCK|c835_sa|01
{@A-CAP|1|+2.308617E-11}
}
{@BLOCK|c836_sa|01
{@A-CAP|1|+2.020040E-11}
}
{@BLOCK|c837_sa|01
{@A-CAP|1|+2.020040E-11}
}
{@BLOCK|c838_sa|01
{@A-CAP|1|+1.731463E-11}
}
{@BLOCK|c839_sa|01
{@A-CAP|1|+2.597194E-11}
}
{@BLOCK|c840_sa|01
{@A-CAP|1|+2.885771E-11}
}
{@BLOCK|c841_sa|01
{@A-CAP|1|+3.174348E-11}
}
{@BLOCK|c842_sa|01
{@A-CAP|1|+3.462925E-11}
}
{@BLOCK|c201_sa|01
{@A-CAP|1|+2.605736E-11}
}
{@BLOCK|c202_sa|01
{@A-CAP|1|+2.316210E-11}
}
{@BLOCK|c329|01
{@A-CAP|1|-1.433275E-10}
}
{@BLOCK|c330|01
{@A-CAP|1|+1.433275E-10}
}
{@BLOCK|c331|01
{@A-CAP|1|+2.895262E-11}
}
{@BLOCK|c833_sa|01
{@A-CAP|1|+1.447631E-11}
}
{@BLOCK|c834_sa|01
{@A-CAP|1|+1.737157E-11}
}
{@BLOCK|c972_r0|01
{@A-CAP|1|+1.737157E-11}
